_configuration,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
<cfbd.configuration.Configuration object at 0x00000231BF414520>,322450030,2012,1,regular,2012-09-01T23:30:00.000Z,,False,False,93607,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,49,"[20, 15, 7, 7]",0.9982813794628205,62,Hawai'i,Mountain West,10,"[0, 0, 10, 0]",0.0017186205371795271,1.17375488693336,,,
<cfbd.configuration.Configuration object at 0x00000231BF414B20>,322452655,2012,1,regular,2012-09-02T00:00:00.000Z,,False,False,26059,3493,Mercedes-Benz Superdome,2655,Tulane,Conference USA,12,"[0, 3, 0, 9]",0.5779546487180776,164,Rutgers,Big East,24,"[0, 10, 0, 14]",0.42204535128192244,6.23251301275005,,,
<cfbd.configuration.Configuration object at 0x00000231BF41B160>,322450251,2012,1,regular,2012-09-02T00:00:00.000Z,,False,False,101142,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,37,"[7, 17, 7, 6]",0.9805595186993136,2751,Wyoming,Mountain West,17,"[9, 0, 0, 8]",0.01944048130068643,3.3809364596052,,,
<cfbd.configuration.Configuration object at 0x00000231BF41B760>,322450084,2012,1,regular,2012-09-02T00:00:00.000Z,,False,False,41882,3830,Memorial Stadium,84,Indiana,Big Ten,24,"[7, 10, 7, 0]",0.7751899333305706,282,Indiana State,,17,"[7, 3, 7, 0]",0.22481006666942938,3.7328122378417,,,
<cfbd.configuration.Configuration object at 0x00000231BF41BD60>,322450248,2012,1,regular,2012-09-02T00:00:00.000Z,,False,False,32207,453,Robertson Stadium,248,Houston,Conference USA,13,"[10, 0, 3, 0]",0.34966906459209995,326,Texas State,Western Athletic,30,"[14, 13, 0, 3]",0.6503309354079001,2.77045885128736,,,
<cfbd.configuration.Configuration object at 0x00000231BF4213A0>,322450333,2012,1,regular,2012-09-02T00:00:00.000Z,,True,False,90413,,,333,Alabama,SEC,41,"[21, 10, 3, 7]",0.999893933357404,130,Michigan,Big Ten,14,"[0, 7, 7, 0]",0.0001060666425960477,1.73802458108005,,,
<cfbd.configuration.Configuration object at 0x00000231BF4219A0>,322450278,2012,1,regular,2012-09-02T02:00:00.000Z,,False,False,27663,3660,Bulldog Stadium,278,Fresno State,Mountain West,37,"[14, 10, 0, 13]",0.9982005623059704,2692,Weber State,,10,"[0, 3, 7, 0]",0.0017994376940295709,1.7705514766942,,,
<cfbd.configuration.Configuration object at 0x00000231BF421FA0>,322452638,2012,1,regular,2012-09-02T02:30:00.000Z,,False,False,40137,3946,Sun Bowl Stadium,2638,UTEP,Conference USA,7,"[7, 0, 0, 0]",0.45664847307321216,201,Oklahoma,Big 12,24,"[7, 0, 3, 14]",0.5433515269267879,5.51126547695977,,,
<cfbd.configuration.Configuration object at 0x00000231BF4255E0>,322450264,2012,1,regular,2012-09-02T02:30:00.000Z,,False,False,53742,,,264,Washington,Pac-12,21,"[14, 0, 7, 0]",0.8967169566672107,21,San Diego State,Mountain West,12,"[0, 6, 0, 6]",0.10328304333278926,2.91036834369654,,,
<cfbd.configuration.Configuration object at 0x00000231BF425BE0>,322452483,2012,1,regular,2012-09-02T02:30:00.000Z,,False,False,56144,3626,Autzen Stadium,2483,Oregon,Pac-12,57,"[29, 21, 0, 7]",0.9972061195501166,2032,Arkansas State,Sun Belt,34,"[0, 10, 10, 14]",0.002793880449883379,1.10250675660153,,,
<cfbd.configuration.Configuration object at 0x00000231BF42C220>,322450012,2012,1,regular,2012-09-02T02:30:00.000Z,,False,False,48670,3619,Arizona Stadium,12,Arizona,Pac-12,24,"[3, 7, 7, 0, 7]",0.9897520077984279,2649,Toledo,Mid-American,17,"[0, 14, 0, 3, 0]",0.010247992201572131,7.71410439788675,,,
<cfbd.configuration.Configuration object at 0x00000231BF42C820>,322460097,2012,1,regular,2012-09-02T19:30:00.000Z,,False,False,55386,3873,Papa John's Cardinal Stadium,97,Louisville,Big East,32,"[8, 14, 10, 0]",0.8807434660503651,96,Kentucky,SEC,14,"[0, 7, 7, 0]",0.11925653394963487,2.36242611044567,,,
<cfbd.configuration.Configuration object at 0x00000231BF42CE20>,322460239,2012,1,regular,2012-09-02T22:30:00.000Z,,False,False,43514,3724,Floyd Casey Stadium,239,Baylor,Big 12,59,"[14, 10, 21, 14]",0.993680399933859,2567,SMU,Conference USA,24,"[0, 3, 7, 14]",0.006319600066140962,2.83423113124801,,,
<cfbd.configuration.Configuration object at 0x00000231BF432460>,322470259,2012,1,regular,2012-09-04T00:00:00.000Z,,False,True,65632,3799,Lane Stadium,259,Virginia Tech,ACC,20,"[7, 0, 0, 10, 3]",0.7868160399525571,59,Georgia Tech,ACC,17,"[0, 7, 0, 10, 0]",0.2131839600474429,7.42760704748485,,,
<cfbd.configuration.Configuration object at 0x00000231BF432A60>,322502132,2012,2,regular,2012-09-07T00:00:00.000Z,,False,True,33562,3854,Nippert Stadium,2132,Cincinnati,Big East,34,"[14, 3, 7, 10]",0.8637060343201679,221,Pittsburgh,Big East,10,"[0, 0, 3, 7]",0.1362939656798321,3.66778191341767,,,
